Video_URL,Time,Author,Message
https://www.youtube.com/watch?v=X_dppNer2LE,,@thanho7779,1
https://www.youtube.com/watch?v=X_dppNer2LE,,@thuongdao7046,Chào mừng tới WSFB ngày thứ Tư của anh Ngọc
https://www.youtube.com/watch?v=X_dppNer2LE,,@thuongdao7046,Thái lọ làm ăn láo nháo quá
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,chào anh em nhé
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,sẵn sàng chưa nàoooo
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,like mạnh tay để lên 300 like nào anh em
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,cảm ơn anh em đã vào chờ tới giờ phát sóng nhé
https://www.youtube.com/watch?v=X_dppNer2LE,,@yoanndang,bắt máy bay qua VN xin nhỗi rồi
https://www.youtube.com/watch?v=X_dppNer2LE,,@hieuminh4363,thái lọ làm quả này liên quan đến chính trị luôn ấy
https://www.youtube.com/watch?v=X_dppNer2LE,,@yoanndang,"qua xin nhỗi rồi, bỏ qua thôi"
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,Thái Lan làm ăn như này là không ổn rồi !
https://www.youtube.com/watch?v=X_dppNer2LE,,@thanhhaitran2472,"thôi thì cứ giơ cao đánh khẽ, do nhân viên làm ăn kém đi"
https://www.youtube.com/watch?v=X_dppNer2LE,,@phatjuno,Em chào mọi người hôm nay có anh Ngọc
https://www.youtube.com/watch?v=X_dppNer2LE,,@viet1707,ae var Thái Lan mạnh vào
https://www.youtube.com/watch?v=X_dppNer2LE,,@myozz.khanh.279,nhầm ai chứ nhàm VN thành TQ thì khó cứu
https://www.youtube.com/watch?v=X_dppNer2LE,,@thanhhaitran2472,"vụ nhầm cờ như này trong thể thao thấy bị suốt, chả có ý đồ j cả"
https://www.youtube.com/watch?v=X_dppNer2LE,,@phatjuno,Lòng tự tôn dân tộc ta ko thể bỏ qua dễ dàng v được
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,Phải nấu lẩu thái thôi anh em ạ
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,Lòng tự tôn dân tộc chúng ta mà
https://www.youtube.com/watch?v=X_dppNer2LE,,@krkrjjf,"mấy người giàu có quyền lực của thailand đều là người gốc hoa,nói như vậy ae tự hiểu rồi đấy"
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,cảm ơn anh em đã vào đông nhé
https://www.youtube.com/watch?v=X_dppNer2LE,,@thanhhaitran2472,"trước xem poker tour ở VN còn nhầm cờ Hàn thành Triều Tiên vkl luôn, bi a cũng hay bị nhầm"
https://www.youtube.com/watch?v=X_dppNer2LE,,@Real-Madrid-No1-fan,Ronaldo lại tạch cúp rồi ae ạ
https://www.youtube.com/watch?v=X_dppNer2LE,,@quangphung9019,"sắp tới là liver vs real, bayern vs Psg căng như dây đàn"
https://www.youtube.com/watch?v=X_dppNer2LE,,@KiGimart,Bhu
https://www.youtube.com/watch?v=X_dppNer2LE,,@kasumeow,ronaldo kể từ khi rời juventus năm 2021 đến giờ vẫn trắng tay với danh hiệu clb
https://www.youtube.com/watch?v=X_dppNer2LE,,@quangphung9019,à cái vụ kêu gọi rồi ko thấy đăng video phát quà cho Thái Nguyên hay Huế nhỉ
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,anh em có câu hỏi gì thì để lại nhé
https://www.youtube.com/watch?v=X_dppNer2LE,,@viet1707,go go go
https://www.youtube.com/watch?v=X_dppNer2LE,,@garublue999,"chào 2a AC Milan lại hoà bị tụt lại so với Napoli , vấn đề của Milan thiếu 1 tiền đạo đẳng cấp đúng ko ạ"
https://www.youtube.com/watch?v=X_dppNer2LE,,@phatjuno,Hello a @Teo Chicharito
https://www.youtube.com/watch?v=X_dppNer2LE,,@Thànhbin-m6h4j,chờ phản ứng của LĐBĐ VN
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,vào thôi anh em ơi
https://www.youtube.com/watch?v=X_dppNer2LE,,@DanhNguyen-1905,Người dân Thái Lan nên đốt trụ sở FAT nếu muốn người Việt tha thứ cho tội lỗi của mình bằng ko đừng trách ở biên giới Thái Cam có binh lính nói được tiếng Việt
https://www.youtube.com/watch?v=X_dppNer2LE,,@tuanminh176,Chúng ta kh tham gia giải nữa bỏ giải
https://www.youtube.com/watch?v=X_dppNer2LE,,@kasumeow,"napoli của conte đúng là khôn nhà dại chợ, chỉ giỏi farm gà"
https://www.youtube.com/watch?v=X_dppNer2LE,,@quangphung9019,"thì chúng ta bỏ giải này, giả sau tham dự thôi"
https://www.youtube.com/watch?v=X_dppNer2LE,,@garublue999,hello e @Phát Juno
https://www.youtube.com/watch?v=X_dppNer2LE,,@blvanhquan68,like mạnh cho lên 300 likes nào anh em ơi
